LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
8839.3928	11032.8262	10204.1920	10964.0586	8912.1999	11288.5734	11251.7673	11564.4070	-0.1154
8751.7723	10861.1098	10138.0086	10914.2342	8842.5609	11207.1058	11277.3179	11525.8607	-0.1328
8725.1934	10920.6066	10140.7105	10983.8413	8802.3234	11159.3956	11217.6167	11574.0006	-0.1498
8709.2279	10892.7829	10194.5259	10940.0242	8804.8993	11176.1691	11315.5686	11518.3259	-0.1663
8692.4291	10807.1252	10155.1085	10845.0060	8789.4395	11183.2313	11281.6806	11520.1492	-0.1821
8642.4196	10763.9249	10053.3577	10754.1896	8766.3782	11174.3641	11182.7770	11401.6603	-0.1972
8632.7630	10763.6796	10084.5593	10782.6123	8745.6045	11111.5980	11220.7900	11447.9313	-0.2115
8644.3748	10765.2745	10034.9574	10817.2222	8735.0205	11063.8602	11146.7202	11429.7604	-0.2250
8644.3541	10761.6947	10063.4509	10765.4650	8772.6038	11108.8493	11160.6375	11398.0638	-0.2377
8642.3787	10772.2688	10055.8086	10722.1201	8746.3792	11072.3931	11196.1112	11433.3473	-0.2497
8674.7073	10826.2769	10113.5456	10839.6056	8764.3540	11156.5199	11182.2105	11486.6876	-0.2601
8706.0759	10917.3083	10202.8760	10912.7604	8790.4083	11197.8568	11289.1015	11558.0702	-0.1686
8779.3180	11007.1789	10230.9648	10967.3130	8868.3144	11262.9539	11369.8787	11604.6796	0.1334
8825.2260	11076.5781	10319.5618	11047.8317	8911.7085	11311.3712	11414.6403	11656.7264	0.4161
8862.2245	11116.2238	10344.3209	11045.3280	8954.8201	11338.5654	11453.6482	11648.0785	0.5641
8885.4254	11121.0043	10303.5299	11094.0854	8992.6596	11406.0314	11355.3496	11626.0548	0.6074
8881.6360	11157.6457	10290.0820	11046.5116	8982.0108	11420.5967	11363.3507	11648.9250	0.5952
8896.0692	11114.6237	10276.7211	11039.7467	8980.6055	11374.0706	11362.1377	11631.6462	0.5617
8860.1014	11042.0905	10308.2961	10990.7263	8958.2920	11324.7343	11340.6524	11635.5652	0.5267
8828.9550	11028.5804	10252.4096	11021.7877	8914.3994	11287.1139	11242.1216	11624.3950	0.4981
8812.0708	11058.0886	10264.4999	10982.3783	8885.1232	11268.6037	11297.7812	11529.7688	0.4760
8771.4122	10991.7124	10177.8381	10993.2029	8857.0369	11261.4019	11269.1424	11597.6152	0.3586
8736.0170	10982.7114	10194.4820	11028.6230	8821.5781	11246.4546	11307.9455	11584.4596	0.0369
8688.9453	10962.4036	10232.7734	10948.0756	8789.4561	11204.5677	11296.8045	11571.9557	-0.2604
8701.5001	10975.7731	10205.2717	10915.4811	8779.3668	11267.2679	11241.0237	11499.9600	-0.4208
8706.3926	10962.7856	10217.5783	10878.1282	8785.6562	11267.8084	11310.7302	11531.3572	-0.4765
8705.9661	10925.4685	10150.3305	10949.5556	8802.8726	11248.8446	11283.5991	11566.6958	-0.4770
8685.4506	10905.0085	10171.2290	10983.3743	8803.5201	11234.4338	11343.2214	11602.2170	-0.4545
8701.9422	10875.8940	10173.0456	10925.4697	8819.8831	11207.7283	11288.8713	11551.4270	-0.4282
8686.2436	10786.5311	10117.7769	10936.7063	8805.4819	11129.6675	11224.2080	11514.6482	-0.4074
